week,rank,title,artist,spotify_id,danceability,energy,tempo,valence,speechiness,acousticness,instrumentalness,liveness,loudness,key,mode,genre
2025-01-05,72,Wacced Out Murals,Kendrick Lamar,5gOfC9UzZQzTyShqPMrpjT,0.761,0.501,81.998,0.502,0.459,0.249,0.0,0.136,-10.759,9.0,0.0,hip hop
2025-01-05,73,Diet Pepsi,Addison Rae,6ouhsRJ7gExB7LCYjITk4Y,,,,,,,,,,,,
2025-01-05,74,Apple,Charli xcx,1juBRo49adrKPIJDdOf6zt,0.804,0.957,126.035,0.962,0.034,0.125,0.0174,0.114,-5.452,0.0,1.0,hyperpop
2025-01-05,75,Boys Back Home,Dylan Marlowe & Dylan Scott,1hgINxfKQlJOikzd9skvC2,0.479,0.926,140.154,0.564,0.0495,0.0686,0.0,0.0983,-2.014,10.0,1.0,country
2025-01-05,76,25,Rod Wave,0U60hgxzGit7juEuHul2y3,0.427,0.5,63.925,0.269,0.141,0.286,0.0,0.127,-8.269,0.0,1.0,
2025-01-05,77,Kitchen,SZA,3VPeA7IW68QRNTfgzb6biZ,0.626,0.386,80.042,0.543,0.0269,0.694,0.00171,0.0811,-11.323,2.0,1.0,r&b
2025-01-05,78,Peekaboo,Kendrick Lamar Featuring AzChike,6g6W3pMAFbp2FS1QCijkpM,0.562,0.365,100.028,0.248,0.441,0.116,1.64e-06,0.934,-17.883,2.0,1.0,hip hop
2025-01-05,79,Burning Down,Alex Warren,3diSxgK7bRIZzqu5IqFgd1,0.401,0.656,171.863,0.434,0.0492,0.132,0.0,0.0872,-2.897,10.0,0.0,
2025-01-05,80,Disease,Lady Gaga,19KlZwqlT3fguP2BeHF1Q1,0.562,0.917,100.987,0.501,0.117,0.0513,0.0,0.488,-2.768,11.0,0.0,art pop
2025-01-05,81,Shake Dat Ass (Twerk Song),BossMan Dlow,6s1O3pFjN8aDUnooppKDmP,0.79,0.774,88.015,0.386,0.293,0.0906,7.18e-06,0.0983,-6.545,4.0,0.0,
2025-01-05,82,Gang Baby,NLE Choppa,77ofS4oV1vH7Bhaz3dvyxe,0.92,0.699,129.054,0.484,0.358,0.00768,0.0,0.0745,-6.635,11.0,1.0,
2025-01-05,83,Khe?,Rauw Alejandro & Romeo Santos,1YYfyJ2yCvGFCxwjsIqEK9,0.687,0.627,155.865,0.47,0.181,0.326,0.0,0.0893,-4.975,7.0,1.0,reggaeton
