week,rank,title,artist,spotify_id
2025-01-12,83,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta,6VNXmo59yDYgcwLS17UNAW
2025-01-12,84,Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp
2025-01-12,85,Bad Dreams,Teddy Swims,3nHuKdFJZm78CoeBnDcFKe
2025-01-12,86,Stiff Gang,Lil Baby,3cRi3PKcFCPL3fQcEJMKT0
2025-01-12,87,Dancing In The Flames,The Weeknd,7z7kvUQGwlC6iOl7vMuAr9
2025-01-12,88,Boys Back Home,Dylan Marlowe & Dylan Scott,1hgINxfKQlJOikzd9skvC2
2025-01-12,89,Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z
2025-01-12,90,Peekaboo,Kendrick Lamar Featuring AzChike,6g6W3pMAFbp2FS1QCijkpM
2025-01-12,91,Drive,SZA,2qYbtIf8dRkBkKIcZVGFDq
2025-01-12,92,Popular,Ariana Grande,3i8fIJNV0yuC4kXT3SkVBZ
2025-01-12,93,Hey Now,Kendrick Lamar Featuring Dody6,6g6W3pMAFbp2FS1QCijkpM
2025-01-12,94,Lo Que Le Paso A Hawaii,Bad Bunny,1Hg0e997pObvZ91w1FCPFk
2025-01-12,95,La Mudanza,Bad Bunny,3G7agPwWfcORnWCAGMDOpm
2025-01-12,96,Close To You,Gracie Abrams,5wbg8kepMFoMzHOEuxiI0q
2025-01-12,97,Diet Pepsi,Addison Rae,6ouhsRJ7gExB7LCYjITk4Y
2025-01-12,98,Burning Down,Alex Warren,3diSxgK7bRIZzqu5IqFgd1
2025-01-12,99,Free Promo,Lil Baby,47OlqHXSnjsURFZGLdvQwI
2025-01-12,100,Dos Dias,Tito Double P & Peso Pluma,5lKFO0PrOC9jmOlPEdjHsL
2025-01-19,1,Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe
2025-01-19,2,DTMF,Bad Bunny,3sK8wGT43QFpWrvNQsrQya
2025-01-19,3,Baile Inolvidable,Bad Bunny,2lTm559tuIvatlT1u0JYG2
2025-01-19,4,A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf
2025-01-19,5,APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY
2025-01-19,6,Luther,Kendrick Lamar & SZA,45J4avUb9Ni0bnETYaYFVJ
2025-01-19,7,Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB
2025-01-19,8,Nuevayol,Bad Bunny,5TFD2bmFKGhoCRbX61nXY5
2025-01-19,9,Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk
2025-01-19,10,That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad
2025-01-19,11,I Had Some Help,Post Malone Featuring Morgan Wallen,7221xIgOnuakPdLqT0F3nP
2025-01-19,12,Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q
2025-01-19,13,Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75
2025-01-19,14,Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo
2025-01-19,15,TV Off,Kendrick Lamar Featuring Lefty Gunplay,45J4avUb9Ni0bnETYaYFVJ
2025-01-19,16,Smile,Morgan Wallen,3MJ6lFNV12FSHAOzTzkwxz
2025-01-19,17,Voy A Llevarte Pa PR,Bad Bunny,59D4DOkspUbWyMmbAPQkxZ
2025-01-19,18,Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9
2025-01-19,19,Timeless,The Weeknd & Playboi Carti,0FIDCNYYjNvPVimz5icugS
2025-01-19,20,Squabble Up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb
2025-01-19,21,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne",3DLtPObflLQBodZN8qGODT
2025-01-19,22,Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ
2025-01-19,23,Velda,"Bad Bunny, Omar Courtz & Dei V",7d6yK8v8J484SWH5prIQiE
2025-01-19,24,EOO,Bad Bunny,6J5kc12BW5HuP3d7C3vvx8
2025-01-19,25,Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10
2025-01-19,26,30 For 30,SZA With Kendrick Lamar,3aSWXU6owkZeVhh94XxEWO
2025-01-19,27,El Club,Bad Bunny,0iKo4pNNjHHdKUcFARlfCa
2025-01-19,28,"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu
2025-01-19,29,Messy,Lola Young,2YuUy4hBCVm4L5IRHu0iVl
2025-01-19,30,Tweaker,GELO,7HDq8aEtkBeZq7gfzYjW28
2025-01-19,31,Perfumito Nuevo,Bad Bunny & RaiNao,1Q9Efnm5csdCMFynISxL2x
2025-01-19,32,Weltita,Bad Bunny & Chuwi,5WEF0icHWmAZBBMglBd599
2025-01-19,33,Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3
2025-01-19,34,High Road,Koe Wetzel & jessie murph,73KAidtqbDftZjy8AD0H04
2025-01-19,35,BMF,SZA,3U3hFkMr0Q90pD24EkE3Pr
2025-01-19,36,Bed Chem,Sabrina Carpenter,3hppjCoD5ruwTaoyJ0J5Wh
2025-01-19,37,Whatchu Kno About Me,Glorilla & Sexyy Red,5xeSd4HgzrYpNLEf3LfYLK
2025-01-19,38,Ketu Tecre,Bad Bunny,4c2Pc0NrfkesPR0jff6q3F
2025-01-19,39,Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j
2025-01-19,40,Kloufrens,Bad Bunny,4MUrUT38U98olfnyzMBCzm
2025-01-19,41,Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU
2025-01-19,42,Bokete,Bad Bunny,79x7xtoCLpf6l32Zz6mWo4
2025-01-19,43,I Am Not Okay,Jelly Roll,3SaS0Va6o6jYkWvadT86C6
2025-01-19,44,Wind Up Missin' You,Tucker Wetmore,3EO58D1YpHnTvBy68gK8HE
2025-01-19,45,Turista,Bad Bunny,7tCuCjhxzjX2XCz4JiiAsp
2025-01-19,46,No One Noticed,The Marias,3siwsiaEoU4Kuuc9WKMUy5
2025-01-19,47,Please Please Please,Sabrina Carpenter,5N3hjp1WNayUPZrA8kJmJP
