week,rank,title,artist
2025-01-26,51,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-01-26,52,4x4xU,Lainey Wilson
2025-01-26,53,Ketu Tecre,Bad Bunny
2025-01-26,54,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-01-26,55,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-01-26,56,Denial Is A River,Doechii
2025-01-26,57,Bad Dreams,Teddy Swims
2025-01-26,58,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta
2025-01-26,59,Bokete,Bad Bunny
2025-01-26,60,Tu Boda,Oscar Maydon & Fuerza Regida
2025-01-26,61,Turista,Bad Bunny
2025-01-26,62,Good News,Shaboozey
2025-01-26,63,Think I'm In Love With You,Chris Stapleton
2025-01-26,64,I Ain't Sayin',Jordan Davis
2025-01-26,65,Pitorro de Coco,Bad Bunny
2025-01-26,66,La Mudanza,Bad Bunny
2025-01-26,67,Guy For That,Post Malone Featuring Luke Combs
2025-01-26,68,No Pole,Don Toliver
2025-01-26,69,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future"
2025-01-26,70,Am I Okay?,Megan Moroney
2025-01-26,71,Diet Pepsi,Addison Rae
2025-01-26,72,Heart Of A Woman,Summer Walker
2025-01-26,73,Lo Que Le Paso A Hawaii,Bad Bunny
2025-01-26,74,Are You Even Real,Teddy Swims & GIVEON
2025-01-26,75,Help Me,Real Boston Richey
2025-01-26,76,Rosones,Tito Double P
2025-01-26,77,Funny Papers,Mac Miller
2025-01-26,78,Nadie,Tito Double P
2025-01-26,79,Peekaboo,Kendrick Lamar Featuring AzChike
2025-01-26,80,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-01-26,81,Dos Dias,Tito Double P & Peso Pluma
2025-01-26,82,The Largest,BigXthaPlug
2025-01-26,83,Burning Down,Alex Warren
2025-01-26,84,The Days,CHRYSTAL
2025-01-26,85,5 Dollar Pony Rides,Mac Miller
2025-01-26,86,Khe?,Rauw Alejandro & Romeo Santos
2025-01-26,87,It's Ok I'm Ok,Tate McRae
2025-01-26,88,Push 2 Start,Tyla
2025-01-26,89,Scorsese Baby Daddy,SZA
2025-01-26,90,Hey Now,Kendrick Lamar Featuring Dody6
2025-01-26,91,Boys Back Home,Dylan Marlowe & Dylan Scott
2025-01-26,92,GBP,Central Cee Featuring 21 Savage
2025-01-26,93,Forever Young,"David Guetta, Alphaville & Ava Max"
2025-01-26,94,Popular,Ariana Grande
2025-01-26,95,DJ's Chord Organ,Mac Miller Featuring SZA
2025-01-26,96,25,Rod Wave
2025-01-26,97,Stoned,Mac Miller
2025-01-26,98,Headlock,Imogen Heap
2025-01-26,99,Stuff,Lil Baby Featuring Travis Scott
2025-01-26,100,Wondering Why,The Red Clay Strays
2025-02-02,1,4X4,Travis Scott
2025-02-02,2,Die With A Smile,Lady Gaga & Bruno Mars
2025-02-02,3,APT.,ROSE & Bruno Mars
2025-02-02,4,Luther,Kendrick Lamar & SZA
2025-02-02,5,A Bar Song (Tipsy),Shaboozey
2025-02-02,6,Lose Control,Teddy Swims
2025-02-02,7,Birds Of A Feather,Billie Eilish
2025-02-02,8,DTMF,Bad Bunny
2025-02-02,9,That's So True,Gracie Abrams
2025-02-02,10,Love Somebody,Morgan Wallen
2025-02-02,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-02-02,12,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-02-02,13,Espresso,Sabrina Carpenter
2025-02-02,14,Messy,Lola Young
2025-02-02,15,Beautiful Things,Benson Boone
2025-02-02,16,Baile Inolvidable,Bad Bunny
2025-02-02,17,Fat Juicy & Wet,Sexyy Red & Bruno Mars
2025-02-02,18,Timeless,The Weeknd & Playboi Carti
2025-02-02,19,Taste,Sabrina Carpenter
2025-02-02,20,30 For 30,SZA With Kendrick Lamar
2025-02-02,21,Sports Car,Tate McRae
2025-02-02,22,Smile,Morgan Wallen
2025-02-02,23,Squabble Up,Kendrick Lamar
2025-02-02,24,Too Sweet,Hozier
2025-02-02,25,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-02-02,26,Stargazing,Myles Smith
2025-02-02,27,Nuevayol,Bad Bunny
2025-02-02,28,High Road,Koe Wetzel & jessie murph
2025-02-02,29,Not Like Us,Kendrick Lamar
2025-02-02,30,"Good Luck, Babe!",Chappell Roan
2025-02-02,31,Who,Jimin
2025-02-02,32,BMF,SZA
2025-02-02,33,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-02-02,34,Sailor Song,Gigi Perez
2025-02-02,35,Voy A Llevarte Pa PR,Bad Bunny
2025-02-02,36,Bed Chem,Sabrina Carpenter
2025-02-02,37,No One Noticed,The Marias
2025-02-02,38,Liar,Jelly Roll
2025-02-02,39,EOO,Bad Bunny
2025-02-02,40,Residuals,Chris Brown
2025-02-02,41,I Am Not Okay,Jelly Roll
2025-02-02,42,Bad Dreams,Teddy Swims
2025-02-02,43,Loco,Neton Vega
2025-02-02,44,I Never Lie,Zach Top
2025-02-02,45,Pink Pony Club,Chappell Roan
2025-02-02,46,Wildflower,Billie Eilish
2025-02-02,47,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-02-02,48,Tweaker,GELO
2025-02-02,49,Please Please Please,Sabrina Carpenter
2025-02-02,50,Indigo,Sam Barber Featuring Avery Anna
2025-02-02,51,El Club,Bad Bunny
2025-02-02,52,4x4xU,Lainey Wilson
2025-02-02,53,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-02-02,54,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-02-02,55,Denial Is A River,Doechii
2025-02-02,56,Weltita,Bad Bunny & Chuwi
2025-02-02,57,Good News,Shaboozey
2025-02-02,58,Haunted,Kane Brown With Jelly Roll
2025-02-02,59,I Ain't Sayin',Jordan Davis
2025-02-02,60,Think I'm In Love With You,Chris Stapleton
2025-02-02,61,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-02-02,62,Perfumito Nuevo,Bad Bunny & RaiNao
2025-02-02,63,Are You Even Real,Teddy Swims & GIVEON
2025-02-02,64,Kloufrens,Bad Bunny
2025-02-02,65,Tu Boda,Oscar Maydon & Fuerza Regida
2025-02-02,66,Diet Pepsi,Addison Rae
2025-02-02,67,Guy For That,Post Malone Featuring Luke Combs
2025-02-02,68,Am I Okay?,Megan Moroney
2025-02-02,69,Ketu Tecre,Bad Bunny
2025-02-02,70,Heart Of A Woman,Summer Walker
2025-02-02,71,The Largest,BigXthaPlug
2025-02-02,72,No Pole,Don Toliver
2025-02-02,73,Blue Jean Baby,Zach Bryan
2025-02-02,74,It's Ok I'm Ok,Tate McRae
2025-02-02,75,Help Me,Real Boston Richey
2025-02-02,76,Peekaboo,Kendrick Lamar Featuring AzChike
2025-02-02,77,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future"
2025-02-02,78,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta
2025-02-02,79,Backseat Driver,Kane Brown
2025-02-02,80,Bokete,Bad Bunny
2025-02-02,81,GBP,Central Cee Featuring 21 Savage
2025-02-02,82,Turista,Bad Bunny
2025-02-02,83,The Days,CHRYSTAL
2025-02-02,84,Burning Down,Alex Warren
2025-02-02,85,Weren't For The Wind,Ella Langley
2025-02-02,86,Nadie,Tito Double P
2025-02-02,87,Rosones,Tito Double P
2025-02-02,88,Hey Now,Kendrick Lamar Featuring Dody6
2025-02-02,89,Push 2 Start,Tyla
2025-02-02,90,Forever Young,"David Guetta, Alphaville & Ava Max"
2025-02-02,91,Headlock,Imogen Heap
2025-02-02,92,La Mudanza,Bad Bunny
2025-02-02,93,Holy Smokes,Bailey Zimmerman
2025-02-02,94,Pitorro de Coco,Bad Bunny
2025-02-02,95,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-02-02,96,Khe?,Rauw Alejandro & Romeo Santos
2025-02-02,97,Me Jalo,Fuerza Regida & Grupo Frontera
2025-02-02,98,Wondering Why,The Red Clay Strays
2025-02-02,99,Boys Back Home,Dylan Marlowe & Dylan Scott
2025-02-02,100,Mutt,Leon Thomas
2025-02-09,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-02-09,2,I'm The Problem,Morgan Wallen
2025-02-09,3,Luther,Kendrick Lamar & SZA
2025-02-09,4,Birds Of A Feather,Billie Eilish
2025-02-09,5,A Bar Song (Tipsy),Shaboozey
2025-02-09,6,APT.,ROSE & Bruno Mars
2025-02-09,7,Timeless,The Weeknd & Playboi Carti
2025-02-09,8,Lose Control,Teddy Swims
2025-02-09,9,Beautiful Things,Benson Boone
2025-02-09,10,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-02-09,11,Love Somebody,Morgan Wallen
2025-02-09,12,Cry For Me,The Weeknd
2025-02-09,13,That's So True,Gracie Abrams
2025-02-09,14,Espresso,Sabrina Carpenter
2025-02-09,15,Not Like Us,Kendrick Lamar
2025-02-09,16,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-02-09,17,DTMF,Bad Bunny
2025-02-09,18,Pink Pony Club,Chappell Roan
2025-02-09,19,Messy,Lola Young
2025-02-09,20,Squabble Up,Kendrick Lamar
